mjd, flux, type
Observation Date: 60274.67782, Peak Flux: 9.908 mK, Type: Filtered
Observation Date: 60274.67782, Peak Flux: 0.535 mK, Type: Passthrough 
Observation Date: 60274.77503, Peak Flux: 6.059 mK, Type: Filtered 
Observation Date: 60274.77503, Peak Flux: 0.6111 mK, Type: Passthrough 
Observation Date: 60283.11221, Peak Flux: 14.08 mK, Type: Filtered 
Observation Date: 60283.11221, Peak Flux: 0.6463 mK, Type: Passthrough 
Observation Date: 60283.20942, Peak Flux: 8.416 mK, Type: Filtered 
Observation Date: 60283.20942, Peak Flux: 0.5061 mK, Type: Passthrough 
Observation Date: 60283.30666, Peak Flux: 7.782 mK, Type: Filtered 
Observation Date: 60283.30666, Peak Flux: 0.6153 mK, Type: Passthrough 
Observation Date: 60283.41273, Peak Flux: 9.951 mK, Type: Filtered 
Observation Date: 60283.41273, Peak Flux: 0.6214 mK, Type: Passthrough 
Observation Date: 60283.50995, Peak Flux: 7.839 mK, Type: Filtered 
Observation Date: 60283.50995, Peak Flux: 0.6359 mK, Type: Passthrough 
Observation Date: 60283.60716, Peak Flux: 6.65 mK, Type: Filtered 
Observation Date: 60283.60716, Peak Flux: 0.5536 mK, Type: Passthrough 
Observation Date: 60288.01867, Peak Flux: 11.4 mK, Type: Filtered 
Observation Date: 60288.01867, Peak Flux: 0.9963 mK, Type: Passthrough 
Observation Date: 60288.21309, Peak Flux: 6.315 mK, Type: Filtered 
Observation Date: 60288.21309, Peak Flux: 0.5668 mK, Type: Passthrough 
Observation Date: 60288.31919, Peak Flux: 10.2 mK, Type: Filtered 
Observation Date: 60288.31919, Peak Flux: 0.5517 mK, Type: Passthrough 
Observation Date: 60288.41640, Peak Flux: 10.99 mK, Type: Filtered 
Observation Date: 60288.41640, Peak Flux: 0.579 mK, Type: Passthrough 
Observation Date: 60288.51361, Peak Flux: 7.94 mK, Type: Filtered 
Observation Date: 60288.51361, Peak Flux: 0.6407 mK, Type: Passthrough 
