name,ra,dec,Type,Redshift
AT2016iyr,173.4079,-42.2484,CV,0
AT2018aqd,127.62932,-67.24865,CV,0
AT2018bwo,3.507042,-23.193114,ILRT,0.002
AT2018htr,3.533167,-23.169364,LBV,0.001558
AT2020nqq,201.435208,-43.003561,ILRT,0.00183
AT2020pju,54.374667,-24.50115,LBV,0.005
AT2022yzn,96.987792,-25.393292,Nova,0.0015
OGLE-2013-NOVA-02,89.4933,-74.9026,Nova,0.003
MASTERJ141023.42-431843.7,212.5976,-43.3121,SN Ib,0.006
OGLE-2014-SN-001,105.6486,-72.8046,SN II,0.002
PSNJ17194328-7721305,259.9303,-77.3585,SN Ia,0.009
SN2015L,233.3933,-78.1231,SN II,0.009
SN1986G,201.40212,-43.03172,SN Ia,0.001825
SN1987A,83.86662,-69.26986,SN II-pec,0.001067
SN1990aj,70.56379,-20.42167,SN Ib/c,0.005344
SN1990K,8.55858,-27.79631,SN II,0.005284
SN1993K,96.1575,-22.830556,SN II,0.00908
SN1995ad,90.27554,-23.67472,SN II,0.0055
SN1999ec,94.06733,-21.36939,SN Ib,0.009163
SN1999ga,114.06958,-69.55606,SN IIL,0.00489
SN2001fz,101.209417,-27.620194,SN II,0.0064
SN2003H,94.107,-21.373278,SN Ib-pec,0.0092
SN2003hv,46.03883,-26.08542,SN Ia,0.005624
SN2003if,49.96921,-26.06403,SN Ia,0.0056
SN2005ke,53.76813,-24.94411,SN Ia,0.0045
SN2007Y,45.64967,-22.89725,SN Ib-pec,0.004657
SN2010jp,94.12762,-21.41008,SN IIn,0.0092
SN2011ja,196.296333,-49.524167,SN IIP,0.00184
SN2012hb,135.52275,-64.9054805555556,SN II,0.0056
SN2012hn,100.6773,-27.4472,SN Ic-Ca-rich,0.0076
SN2013aa,218.14117,-44.224389,SN Ia,0.003999
SN2013ai,94.0765,-21.3758,SN II,0.009
SN2015F,114.0657,-69.5064,SN Ia,0.0049
SN2015J,113.7716,-69.1314,SN IIn,0.0054
SN2016adj,201.350458,-43.015972,SN Ib,0.001825
SN2016cdd,187.973483,-51.747453,SN Ib,0.008731
SN2016gsb,91.1172,-20.3403,SN Ia,0.0097
SN2016hsc,98.1048,-71.5678,SN Ia,0.006
SN2016jbu,114.1082,-69.5487,SN IIn,0.00489
SN2017cbv,218.143417,-44.134094,SN Ia,0.003999
SN2017cyy,144.15125,-63.948522,SN Ia,0.0098
SN2017fzw,95.394875,-27.214864,SN Ia-91bg-like,0.0054
SN2017iyb,92.23672111,-27.79582667,SN Ia,0.008
SN2017izl,199.980583,-47.284661,SN II,0.01
SN2018ec,156.961542,-43.90175,SN Ic,0.009
SN2018lab,94.110525,-21.375683,SN II,0.0092
SN2018pq,193.88038,-50.05471,SN II,0.006
SN2019eez,94.0926208333,-21.35995,SN II,0.009
SN2019esa,118.753704,-76.411975,SN IIn,0.005891
SN2019xis,84.0570833333,-69.2735277778,Light-Echo,0.0009
SN2020ga,208.6015,-48.51238,SN Ia,0.00917
SN2020tjd,86.5207556706,-23.5660262348,SN IIb,0.01
SN2021afuq,156.966642,-43.901861,SN Ic,0.009
SN2021aks,164.7201875,-49.9638,Galaxy?,0.0092
SN2021jad,83.342404,-21.951819,SN Ia,0.0055
SN2021tkm,217.923299,-43.414322,SN Ia,0.006535
SN2021yja,51.088225,-21.56561875,SN IIP,0.0053
SN2022ame,48.389625,-25.722194,SN II,0.0056
SN2022ewg,192.040158,-43.660922,SN Ia,0.009
SN2022qhy,90.287167,-23.666619,SN Ibn,0.006124
SN2023hym,213.396583,-45.429111,SN Iax[02cx-like],0.01
SN2023zcu,90.2785,-23.674789,SN II,0.006
SN2024fa,36.255712664,-24.7868458611,SN II,0.01
